reader	antenna	det_type	date	time	date_time	time_zone	dur	tag_type	tag_code	consec_det	no_empt_scan_prior
dam	2	D	2016-04-14	11:59.2	2016-04-14 09:11	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	382
dam	2	D	2016-04-14	17:44.3	2016-04-14 09:17	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1712
dam	2	D	2016-04-14	17:45.7	2016-04-14 09:17	America/Vancouver	00:00.6	HR	0000_0000000183225426	4	6
dam	2	D	2016-04-14	17:53.0	2016-04-14 09:17	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	32
dam	2	D	2016-04-14	22:50.5	2016-04-14 09:22	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1476
dam	2	D	2016-04-14	35:07.3	2016-04-14 09:35	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	3657
dam	2	D	2016-04-14	36:25.5	2016-04-14 09:36	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	386
dam	2	D	2016-04-14	36:33.5	2016-04-14 09:36	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	38
dam	2	D	2016-04-14	52:27.2	2016-04-14 09:52	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	4733
dam	2	D	2016-04-14	52:27.6	2016-04-14 09:52	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1
dam	2	D	2016-04-14	56:20.6	2016-04-14 09:56	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1156
dam	2	D	2016-04-14	56:35.5	2016-04-14 09:56	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	73
dam	2	D	2016-04-14	03:58.6	2016-04-14 10:03	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	2197
dam	2	D	2016-04-14	03:59.0	2016-04-14 10:03	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	1
dam	2	D	2016-04-14	07:57.3	2016-04-14 10:07	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1181
dam	2	D	2016-04-14	56:06.4	2016-04-14 10:56	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	14342
dam	2	D	2016-04-14	58:03.7	2016-04-14 10:58	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	579
dam	2	D	2016-04-14	04:32.4	2016-04-14 11:04	America/Vancouver	00:01.4	HR	0000_0000000183225426	8	1927
dam	2	D	2016-04-14	09:08.2	2016-04-14 11:09	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	1361
dam	2	D	2016-04-14	11:50.2	2016-04-14 11:11	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	801
dam	2	D	2016-04-14	16:00.1	2016-04-14 11:16	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	1238
dam	2	D	2016-04-14	19:41.8	2016-04-14 11:19	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1098
dam	2	D	2016-04-14	36:53.8	2016-04-14 11:36	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	5122
dam	2	D	2016-04-14	36:54.3	2016-04-14 11:36	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1
dam	2	D	2016-04-14	38:21.8	2016-04-14 11:38	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	433
dam	2	D	2016-04-14	40:16.4	2016-04-14 11:40	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	568
dam	2	D	2016-04-14	40:26.5	2016-04-14 11:40	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	49
dam	2	D	2016-04-14	51:55.6	2016-04-14 11:51	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	3420
dam	2	D	2016-04-14	51:58.0	2016-04-14 11:51	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	10
dam	2	D	2016-04-14	51:58.6	2016-04-14 11:51	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1
dam	2	D	2016-04-14	59:46.7	2016-04-14 11:59	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	2323
dam	2	D	2016-04-14	01:51.6	2016-04-14 12:01	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	618
dam	2	D	2016-04-15	01:20.7	2016-04-15 18:01	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	.
dam	2	D	2016-04-15	07:57.2	2016-04-15 18:07	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	1966
dam	2	D	2016-04-15	10:52.0	2016-04-15 18:10	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	865
dam	2	D	2016-04-15	10:55.1	2016-04-15 18:10	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	13
dam	2	D	2016-04-15	13:11.0	2016-04-15 18:13	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	673
dam	2	D	2016-04-15	14:06.6	2016-04-15 18:14	America/Vancouver	00:00.8	HR	0000_0000000183225426	5	274
dam	2	D	2016-04-15	16:13.7	2016-04-15 18:16	America/Vancouver	00:00.8	HR	0000_0000000183225426	5	626
dam	2	D	2016-04-15	18:18.0	2016-04-15 18:18	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	612
dam	2	D	2016-04-15	22:34.3	2016-04-15 18:22	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1269
dam	2	D	2016-04-15	22:35.3	2016-04-15 18:22	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	4
dam	2	D	2016-04-15	23:17.0	2016-04-15 18:23	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	205
dam	2	D	2016-04-15	23:17.4	2016-04-15 18:23	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1
dam	2	D	2016-04-15	23:17.8	2016-04-15 18:23	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1
dam	2	D	2016-04-15	23:18.4	2016-04-15 18:23	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	2
dam	2	D	2016-04-15	26:30.2	2016-04-15 18:26	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	951
dam	2	D	2016-04-15	26:30.8	2016-04-15 18:26	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	2
dam	2	D	2016-04-15	26:31.4	2016-04-15 18:26	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	1
dam	2	D	2016-04-15	29:41.1	2016-04-15 18:29	America/Vancouver	00:00.8	HR	0000_0000000183225426	5	939
dam	2	D	2016-04-15	30:53.3	2016-04-15 18:30	America/Vancouver	00:00.6	HR	0000_0000000183225426	4	353
dam	2	D	2016-04-15	34:05.7	2016-04-15 18:34	America/Vancouver	00:00.6	HR	0000_0000000183225426	4	951
dam	2	D	2016-04-15	39:24.0	2016-04-15 18:39	America/Vancouver	00:00.6	HR	0000_0000000183225426	4	1576
dam	2	D	2016-04-15	43:27.1	2016-04-15 18:43	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	1203
dam	2	D	2016-04-15	44:52.3	2016-04-15 18:44	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	421
dam	2	D	2016-04-15	49:36.0	2016-04-15 18:49	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	1405
dam	2	D	2016-04-15	49:36.6	2016-04-15 18:49	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1
dam	2	D	2016-04-15	49:37.0	2016-04-15 18:49	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1
dam	2	D	2016-04-15	52:22.6	2016-04-15 18:52	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	821
dam	2	D	2016-04-15	08:53.1	2016-04-15 19:08	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	4916
dam	2	D	2016-04-15	11:13.7	2016-04-15 19:11	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	695
dam	2	D	2016-04-15	13:14.9	2016-04-15 19:13	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	601
dam	2	D	2016-04-15	13:34.3	2016-04-15 19:13	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	94
dam	2	D	2016-04-15	20:42.7	2016-04-15 19:20	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	2125
dam	2	D	2016-04-15	20:43.4	2016-04-15 19:20	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1
dam	2	D	2016-04-15	23:12.2	2016-04-15 19:23	America/Vancouver	00:00.8	HR	0000_0000000183225426	5	738
dam	2	D	2016-04-15	23:22.7	2016-04-15 19:23	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	47
dam	2	D	2016-04-15	27:42.5	2016-04-15 19:27	America/Vancouver	00:01.2	HR	0000_0000000183225426	7	1289
dam	2	D	2016-04-15	32:46.1	2016-04-15 19:32	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	1500
dam	2	D	2016-04-15	32:47.1	2016-04-15 19:32	America/Vancouver	00:01.0	HR	0000_0000000183225426	6	2
dam	2	D	2016-04-15	36:26.9	2016-04-15 19:36	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	1085
dam	2	D	2016-04-15	38:45.7	2016-04-15 19:38	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	688
dam	2	D	2016-04-15	41:59.6	2016-04-15 19:41	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	962
dam	2	D	2016-04-15	45:57.7	2016-04-15 19:45	America/Vancouver	00:00.4	HR	0000_0000000183225426	3	1180
dam	2	D	2016-04-15	46:09.6	2016-04-15 19:46	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	56
dam	2	D	2016-04-15	48:35.7	2016-04-15 19:48	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	724
dam	2	D	2016-04-15	48:38.3	2016-04-15 19:48	America/Vancouver	00:00.8	HR	0000_0000000183225426	5	12
dam	2	D	2016-04-15	58:16.2	2016-04-15 19:58	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	2864
dam	2	D	2016-04-15	58:25.1	2016-04-15 19:58	America/Vancouver	00:00.2	HR	0000_0000000183225426	2	43
dam	2	D	2016-04-16	38:17.0	2016-04-16 11:38	America/Vancouver	00:00.0	HR	0000_0000000183225426	1	.
